Site,Month,qty sold ,DECRIBPTION,UPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,May,4,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,June,6,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,,21,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Jan,1,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Feb,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Mar,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Apr,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",May,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",June,1,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Jan,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Feb,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Mar,1,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Apr,1,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",May,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",June,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",,6,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",Jan,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",Feb,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",Mar,2,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",Apr,1,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",May,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",June,0,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",June,7,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1776 Post Road, RI ",,14,CABOT CHSE STK SERIOUS SHRP CH,000007835463267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Jan,0,CABOT CHSE STK SHARP CHEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Feb,1,CABOT CHSE STK SHARP CHEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Mar,1,CABOT CHSE STK SHARP CHEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Apr,1,CABOT CHSE STK SHARP CHEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,May,3,CABOT CHSE STK SHARP CHEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
